EN2213,Aerodinâmica I A-diurno (Santo André),"terca das 10:00 às 12:00, sala S - 307-1, semanal , quinta das 08:00 às 10:00, sala S - 307-1, semanal",0,LEONARDO DE OLIVE FERREIRA,0
BC0001,"Base Experimental das Ciências Naturais C2-diurno (Santo André)",0,"quinta das 14:00 às 17:00, sala L602, semanal",0,IVANISE GAUBEUR
BC0001,"Base Experimental das Ciências Naturais C2-Noturno (Santo André)",0,"sabado das 08:00 às 11:00, sala L602, semanal",0,César Augusto João Ribeiro
BC0001,"Base Experimental das Ciências Naturais C3-diurno (Santo André)",0,"quinta das 14:00 às 17:00, sala L605, semanal",0,Prof. Visitante 1 Química
BC0001,"Base Experimental das Ciências Naturais C3-Noturno (Santo André)",0,"sabado das 08:00 às 11:00, sala L605, semanal",0,Juliana Casares Araujo Chaves
BC0001,"Base Experimental das Ciências Naturais C4-diurno (Santo André)",0,"quinta das 14:00 às 17:00, sala L606, semanal",0,ELIZABETH TEODOROV
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
BC0001,"Base Experimental das Ciências Naturais D1-diurno (Santo André)",0,"segunda das 14:00 às 17:00, sala L601/602, semanal",0,ELIZABETH TEODOROV
BC0001,"Base Experimental das Ciências Naturais D2-diurno (Santo André)",0,"segunda das 14:00 às 17:00, sala L602, semanal e sala 308-2.",0,TATIANE ARAUJO DE JESUS
BC0001,"Base Experimental das Ciências Naturais D3-diurno (Santo André)",0,"segunda das 14:00 às 17:00, sala L605, semanal",0,ROSELI FREDERIGI BENASSI
BC0005,"Bases Computacionais da Ciência A10-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala L501, semanal",0,SILVIA CRISTINA DOTTA
BC0005,"Bases Computacionais da Ciência A10-Noturno (Santo André)",0,"terca das 21:00 às 23:00, sala L501, semanal",0,RICARDO SUYAMA
BC0005,"Bases Computacionais da Ciência A11-diurno (Santo André)",0,"terca das 10:00 às 12:00, sala 409-2, semanal",0,DAVID CORREA MARTINS JUNIOR
